"Date	Close	Volume	Company_ticker	Company_name	Field	Dis_category	Rate_of_Return	Date1	Close1	Volume1	Company_ticker1	Company_name1	Field	Dis_category	Rate_of_Return1"
"2/5/2016	25.07	16868598	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.038726994	2/8/2016	65.16	1032008	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.046811001"
"2/4/2016	26.08	16273985	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.015477539	2/5/2016	68.36	800240	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.03035461"
"2/3/2016	26.49	15780969	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.018846154	2/4/2016	70.5	1023443	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.005706134"
"2/2/2016	26	10435056	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.035965888	2/3/2016	70.1	802909	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.002001144"
"2/1/2016	26.97	8721020	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0	2/2/2016	69.96	564911	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.026981919"
"1/29/2016	26.97	13324490	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.032146958	2/1/2016	71.9	730821	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.012226954"
"1/28/2016	26.13	13499385	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.016930023	1/29/2016	72.79	852423	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.022906127"
"1/27/2016	26.58	9921937	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.012263099	1/28/2016	71.16	524215	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.009051664"
"1/26/2016	26.91	9345678	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.035	1/27/2016	71.81	433420	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.019257034"
"1/25/2016	26	16416971	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.014404852	1/26/2016	73.22	702312	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.008539945"
"1/22/2016	26.38	16852844	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.03369906	1/25/2016	72.6	624358	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.02915218"
"1/21/2016	25.52	20560628	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.004680187	1/22/2016	74.78	536130	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.012593094"
